batch_template,rows,truth_total_leakage_amount_minor_sum,model_rate_mae,model_rate_r2,model_amount_mae_minor,model_oof_rate_mae,model_oof_rate_r2,model_oof_amount_mae_minor,system_rate_mae,system_rate_r2,system_amount_mae_minor
control_clean,4,0.0,0.05969263039971166,0.0,31229.76216287582,0.11641556922966048,0.0,61256.41729280156,0.0,1.0,0.0
mixed_leakage,4,545298.27,0.08598756358788154,-58.454642076679505,49582.4753873572,0.12938410594440178,-109.16736955437392,74671.89991066053,0.20842475,-256.93885469481495,120754.56576351798
reference_stress,2,80278.94,0.01768585134335132,0.31136305452879287,7914.643563242669,0.052001059380509154,-3.8904468579137,23546.730121864337,0.05202349999999999,-2.0778545605555547,24870.822206832498
under_heavy,4,119679.68000000001,0.012028627406657694,0.0,7283.527346424602,0.08069256586209815,0.0,48239.83994767871,0.05,0.0,29491.018800000005
unmatched_heavy,4,772550.7000000001,0.2054725210416293,-159.54987673237378,113005.37270253962,0.25606260382547535,-246.03675171659447,141847.64844668796,0.0065739999999999965,0.7959664836363634,3647.4851225597595
